#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),ppa
X,i3-gaps,"is the main graphical user interface and window manager.","ppa:kgilmer/speed-ricer"
,xserver-xorg,"is the graphical server.",
,x11_utils,"allows querying information about windows.",
,xinit,"starts the graphical server.",
,sxhkd,"binds key.",
,fonts-inconsolata,"is the monospace font of LARBS.",
,fonts-linuxlibertine,"provides the sans and serif fonts for LARBS.",
,vifm,"is an extensive terminal file manager that everyone likes.",
,ed,"is the standard editor!",
,tree,"lists directory contents like trees. Used by vifm.",
,arandr,"is a UI for screen adjustment.",
,bc,"is used for a dropdown calculator.",
,calcurse,"is a lightweight terminal-based calendar.",
,xcompmgr,"is for transparency and removing screen-tearing.",
,dosfstools,"allows your computer to access dos-like filesystems.",
,libnotify,"allows desktop notifications.",
,dunst,"is a suckless notification system.",
,exfat-utils,"allows management of FAT drives.",
,sxiv,"is a minimalist image viewer.",
,xwallpaper,"sets the wallpaper.",
,ffmpeg,"can record and splice video and audio on the command line.",
,gnome-keyring,"serves as the system keyring.",
,arc-them,"gives the dark GTK theme used in LARBS.",
,neovim,"a tidier vim with some useful features",
,i3blocks,"is the status bar.",
,i3lock,"is the screen lock.",
,mpd,"is a lightweight music daemon.",
,mpc,"is a terminal interface for mpd.",
,mpv,"is the patrician's choice video player.",
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor.",
,networkmanager,"does exactly what it sounds like.",
,newsboat,"is a terminal RSS client.",
,firefox,"is the only program on LARBS your girlfriend has ever heard of.",
,fonts-symbola,"provides unicode and emoji symbols.",
,ntfs-3g,"allows accessing NTFS partitions.",
,pulseaudio,"is the audio system (>inb4 bloat).",
,pulseaudio-alsa,"is an audio interface with ALSA.",
,pulsemixer,"is an intuitive ncurses audio controller.",
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS.",
,maim,"can take quick screenshots at your request.",
,socat,"is a socket utility.",
,tmux,"is a terminal multiplexer and the dropdown window in LARBS.",
,unclutter,"hides an inactive mouse.",
,unrar,"extracts rar's.",
,unzip,"unzips zips.",
,urlscan,"parses URLs in the terminal allowing keyboard-based selection.",
,w3m,"is a terminal browser which can also view images.",
,xcape,"gives the special escape/super mappings of LARBS.",
,xclip,"allows for copying and pasting from the command line.",
,xdotool,"provides window action utilities on the command line.",
,xorg-xdpyinfo,"aids with resolution determination and screen recording.",
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link.",
,zathura,"is a pdf viewer with vim-like bindings.",
,zathura-djvu,"gives zathura the ability to read .djvu files.",
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura.",
P,python-ueberzug,"generates image previews in vifm and other terminal programs.",
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions.",
,mediainfo,"shows audio and video information and is used by vifm as well.",
,atool,"manages and gives information about archives.",
,fzf,"is a fuzzy finder tool.",
,highlight,"can highlight code output.",
,feh,"displays a wallpaper.",
,libx11-dev,"lib required by st",
,libxft-dev,"lib required by st",
,xorg-xbacklight,"enables changing screen brightness levels.",
,task-spooler,"queues commands or files for download.",
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection.",
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator.",
,docx2txt,"enables .docx file previews in vifm.",
,odt2txt,"enables .odt file previews in vifm.",
